Mã sản phẩm,Tên sản phẩm,Danh mục,Mô tả,Đơn vị tính,Giá nhập,Giá bán,Số lượng tồn kho,Tồn kho tối thiểu,Vị trí lưu kho,Nhà cung cấp,Ngày nhập gần nhất,Trạng thái
GIA-2507-0011,Panasonic Nồi cơm 1.8L,Gia dụng,,Cái,3134626,3605000,47,15,K08-H28-B02,Công ty TNHH Thương mại Minh Anh,2025-11-04,Còn hàng
THỜ-2504-0012,Routine Áo sơ mi oxford Max,Thời trang nam,"Routine Áo sơ mi oxford Max chính hãng từ Routine. Giá tốt chỉ 488,000đ. Form oversize, Chất liệu kaki co giãn. Bảo hành 3 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #routine #chinhhang",Cái,303333,488000,89,22,K03-H09-B15,Công ty TNHH Thương mại Minh Anh,2025-09-29,Còn hàng
THỜ-2501-0013,IVY Moda Áo kiểu lụa Mini,Thời trang nữ,"Sản phẩm IVY Moda Áo kiểu lụa Mini của IVY Moda: Dễ phối đồ, phù hợp đi làm/đi chơi, Chất liệu cotton. Giá tham khảo 631,000đ. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #giao_nhanh #chinhhang",Cái,452564,631000,98,21,K08-H10-B14,CTCP Bán lẻ Công nghệ A-Z,2025-09-27,Còn hàng
ĐIỆ-2509-0014,Vivo Redmi 13C SE,Điện thoại,"Sản phẩm Vivo Redmi 13C SE của Vivo: Camera 50MP, quay 4K, RAM 12GB, ROM 128GB, Màn hình 6.7"" AMOLED 120Hz, Pin 5200mAh, sạc nhanh 45W. Giá tham khảo 8,313,000đ. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #giao_nhanh #gia_tot",Chiếc,6040962,8313000,22,7,K09-H03-B06,Công ty TNHH Thương mại Minh Anh,2025-10-27,Còn hàng
PHỤ-2502-0015,Baseus Chuột không dây Plus,Phụ kiện,"Sản phẩm Baseus Chuột không dây Plus của Baseus: Chứng nhận an toàn CE/FCC, Công suất 45W, hỗ trợ PD/QC. Giá tham khảo 969,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,594039,969000,128,12,K10-H04-B03,CTCP Bán lẻ Công nghệ A-Z,2025-11-02,Còn hàng
ĐỒU-2505-0016,Coca-Cola Cà phê hòa tan 20 gói SE,Đồ uống,"Sản phẩm Coca-Cola Cà phê hòa tan 20 gói SE của Coca-Cola: Bảo quản nơi khô ráo, thoáng mát, NSX gần, HSD còn dài, Thùng 12 lon/chai. Giá tham khảo 755,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #giao_nhanh #coca-cola",Thùng,500000,755000,137,16,K03-H09-B04,Trần và Trần Công ty TNHH MTV,2025-10-16,Còn hàng
MỸP-2511-0017,Innisfree Sữa rửa mặt Pro,Mỹ phẩm,"Innisfree Sữa rửa mặt Pro chính hãng từ Innisfree. Giá tốt chỉ 930,000đ. Không paraben, không cồn khô, Phù hợp loại da hỗn hợp, Thành phần nổi bật: Ceramide. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Tuýp,666192,930000,70,20,K01-H01-B11,Hoàng và Vũ Tập Đoàn,2025-10-24,Còn hàng
PHỤ-2510-0018,Logitech Sạc 20W Plus,Phụ kiện,"Sản phẩm Logitech Sạc 20W Plus của Logitech: Chứng nhận an toàn CE/FCC, Cáp USB-C to Lightning dài 1m. Giá tham khảo 636,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,538181,636000,120,16,K01-H10-B12,Mai và đối tác Công ty TNHH,2025-11-04,Còn hàng
THỜ-2503-0019,NEM Áo kiểu lụa Max,Thời trang nữ,"NEM Áo kiểu lụa Max chính hãng từ NEM. Giá tốt chỉ 289,000đ. Phom A-line, Chất liệu lụa, Dễ phối đồ, phù hợp đi làm/đi chơi. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #nem #gia_tot",Cái,212793,289000,82,22,K12-H30-B11,Trần và đối tác Công ty Hợp danh,2025-09-01,Còn hàng
ĐỒC-2511-0020,Hasbro Búp bê Pro,Đồ chơi,"Sản phẩm Hasbro Búp bê Pro của Hasbro: Chất liệu an toàn, đạt chuẩn ASTM, Độ tuổi khuyến nghị 3+, Phát triển tư duy & sáng tạo. Giá tham khảo 1,467,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày.",Hộp,973845,1467000,35,9,K05-H28-B03,Hoàng và Phạm Công ty Trách nhiệm hữu hạn,2025-10-30,Còn hàng
ĐỒC-2507-0021,Lego Bộ lắp ghép SE,Đồ chơi,"Sản phẩm Lego Bộ lắp ghép SE của Lego: Độ tuổi khuyến nghị 3+, Chất liệu an toàn, đạt chuẩn ASTM, Phát triển tư duy & sáng tạo. Giá tham khảo 1,618,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang).",Hộp,1163444,1618000,38,14,K06-H14-B20,Vũ Trần Tập Đoàn,2025-10-30,Còn hàng
GIA-2511-0022,Sharp Ấm siêu tốc 1.7L Pro,Gia dụng,"Sản phẩm Sharp Ấm siêu tốc 1.7L Pro của Sharp: Dung tích 23L, Bảo hành chính hãng 24 tháng, Công suất 1800W. Giá tham khảo 3,624,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,2396614,3624000,39,14,K11-H28-B04,Bùi Doanh nghiệp tư nhân,2025-11-01,Còn hàng
PHỤ-2507-0023,Logitech Bàn phím bluetooth Plus,Phụ kiện,"Sản phẩm Logitech Bàn phím bluetooth Plus của Logitech: Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC, Cáp USB-C to Lightning dài 1m. Giá tham khảo 741,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #chinhhang",Cái,486350,741000,105,12,K04-H14-B19,CTCP Thiết bị Gia dụng H.T,2025-11-01,Còn hàng
GIA-2503-0024,Sharp Máy xay sinh tố Max,Gia dụng,"Sharp Máy xay sinh tố Max chính hãng từ Sharp. Giá tốt chỉ 1,435,000đ. Dung tích 23L, Công suất 700W, Bảo hành chính hãng 12 tháng. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #sharp #chinhhang",Cái,1247775,1435000,44,5,K08-H20-B03,CTCP Bán lẻ Công nghệ A-Z,2025-10-26,Còn hàng
THỰ-2503-0025,Kinh Đô Bánh ChocoPie 12 cái Mini,Thực phẩm,"Kinh Đô Bánh ChocoPie 12 cái Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: HSD 13 tháng, Bao bì nguyên vẹn, tem nhãn đầy đủ, Nguồn gốc rõ ràng, an toàn vệ sinh. Bảo hành 3 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #gia_tot #giao_nhanh",Gói,245244,464000,142,29,K09-H20-B11,Phạm và Vũ Công ty Trách nhiệm hữu hạn,2025-11-05,Còn hàng
ĐỒC-2508-0026,Takara Tomy Búp bê Plus,Đồ chơi,"Takara Tomy Búp bê Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Độ tuổi khuyến nghị 8+, Phát triển tư duy & sáng tạo, Chất liệu an toàn, đạt chuẩn EN-71. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #takara_tomy #gia_tot",Hộp,1339957,1941000,25,5,K04-H09-B11,CTCP Bán lẻ Công nghệ A-Z,2025-11-02,Còn hàng
ĐIỆ-2510-0027,Apple Redmi Note 12 Mini,Điện thoại,"Sản phẩm Apple Redmi Note 12 Mini của Apple: Chip A17 Pro, Màn hình 6.5"" AMOLED 120Hz, RAM 8GB, ROM 256GB. Giá tham khảo 24,499,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #apple #giao_nhanh",Chiếc,19045678,24499000,22,5,K10-H13-B16,CTCP Thiết bị Gia dụng H.T,2025-10-30,Còn hàng
PHỤ-2509-0028,Hyper Cáp USB-C 1m SE,Phụ kiện,"Hyper Cáp USB-C 1m SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Chứng nhận an toàn CE/FCC, Công suất 45W, hỗ trợ PD/QC. Bảo hành 6 tháng, Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #hyper #gia_tot",Cái,834126,1221000,124,12,K10-H19-B01,CT TNHH Xuất nhập khẩu Đại Phát,2025-09-14,Còn hàng
THỜ-2501-0029,H&M Đầm midi Mini,Thời trang nữ,"H&M Đầm midi Mini chính hãng từ H&M. Giá tốt chỉ 1,631,000đ. Phom A-line, Dễ phối đồ, phù hợp đi làm/đi chơi. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #chinhhang #giao_nhanh",Cái,1200000,1631000,85,10,K06-H08-B03,Lê Dương Công ty TNHH MTV,2025-10-08,Còn hàng
GIA-2503-0030,Sunhouse Lò vi sóng 23L Plus,Gia dụng,"Sunhouse Lò vi sóng 23L Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Dung tích 1.8L, Bảo hành chính hãng 12 tháng, Công suất 1800W. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang).",Cái,4479667,5758000,34,7,K03-H10-B04,CTCP Thiết bị Gia dụng H.T,2025-11-04,Còn hàng
ĐỒU-2506-0031,Coca-Cola Cà phê hòa tan 20 gói Pro,Đồ uống,"Coca-Cola Cà phê hòa tan 20 gói Pro chính hãng từ Coca-Cola. Giá tốt chỉ 395,000đ. Bảo quản nơi khô ráo, thoáng mát, NSX gần, HSD còn dài, Thùng 24 lon/chai. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Thùng,283629,395000,152,26,K02-H17-B11,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-08,Còn hàng
ĐỒC-2512-0032,Takara Tomy Xếp hình 500 mảnh Mini,Đồ chơi,"Takara Tomy Xếp hình 500 mảnh Mini chính hãng từ Takara Tomy. Giá tốt chỉ 1,537,000đ. Chất liệu an toàn, đạt chuẩn EN-71, Phát triển tư duy & sáng tạo, Độ tuổi khuyến nghị 6+. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #gia_tot",Hộp,994966,1537000,37,11,K04-H27-B03,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-15,Còn hàng
ĐỒC-2504-0033,Mattel Bộ lắp ghép SE,Đồ chơi,"Sản phẩm Mattel Bộ lắp ghép SE của Mattel: Chất liệu an toàn, đạt chuẩn EN-71, Độ tuổi khuyến nghị 3+, Phát triển tư duy & sáng tạo. Giá tham khảo 1,235,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #gia_tot",Hộp,776677,1235000,30,5,K07-H16-B18,Nguyễn và Phạm Tập Đoàn,2025-10-23,Còn hàng
THỰ-2509-0034,Acecook Gạo ST25 5kg,Thực phẩm,"Acecook Gạo ST25 5kg chính hãng từ Acecook. Giá tốt chỉ 323,000đ. Nguồn gốc rõ ràng, an toàn vệ sinh, HSD 14 tháng, Bao bì nguyên vẹn, tem nhãn đầy đủ. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Gói,193603,323000,144,25,K08-H09-B10,Công ty TNHH Thương mại Minh Anh,2025-11-03,Còn hàng
ĐỒC-2505-0035,Mattel Bộ lắp ghép Max,Đồ chơi,"Sản phẩm Mattel Bộ lắp ghép Max của Mattel: Chất liệu an toàn, đạt chuẩn EN-71, Độ tuổi khuyến nghị 8+, Phát triển tư duy & sáng tạo. Giá tham khảo 1,237,000đ. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #mattel #gia_tot",Hộp,935831,1237000,24,10,K05-H01-B18,Công ty TNHH Thương mại Minh Anh,2025-11-06,Còn hàng
THỜ-2508-0036,Canifa Áo thun cotton Plus,Thời trang nam,"Sản phẩm Canifa Áo thun cotton Plus của Canifa: Chất liệu cotton 100%, Form regular. Giá tham khảo 1,163,000đ. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang).",Cái,688532,1163000,70,11,K07-H16-B03,Công ty TNHH Thương mại Minh Anh,2025-10-30,Còn hàng
GIA-2508-0037,Electrolux Ấm siêu tốc 1.7L Mini,Gia dụng,"Electrolux Ấm siêu tốc 1.7L Mini chính hãng từ Electrolux. Giá tốt chỉ 7,002,000đ. Công suất 700W, Bảo hành chính hãng 24 tháng, Dung tích 1.7L. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #gia_tot #chinhhang",Cái,5377038,7002000,44,13,K07-H10-B19,CTCP Bán lẻ Công nghệ A-Z,2025-11-03,Còn hàng
THỜ-2501-0038,Zara Áo khoác trench Plus,Thời trang nữ,"Zara Áo khoác trench Plus chính hãng từ Zara. Giá tốt chỉ 687,000đ. Phom A-line, Chất liệu voan, Dễ phối đồ, phù hợp đi làm/đi chơi. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #gia_tot #zara",Cái,465239,687000,101,16,K05-H23-B15,Công ty Cổ phần Phân phối Sao Việt,2025-11-04,Còn hàng
ĐỒU-2508-0039,Lavie Chai 1.5L lốc 6 Pro,Đồ uống,"Sản phẩm Lavie Chai 1.5L lốc 6 Pro của Lavie: Thùng 24 lon/chai, Bảo quản nơi khô ráo, thoáng mát, NSX gần, HSD còn dài. Giá tham khảo 492,000đ. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Thùng,325724,492000,122,22,K05-H17-B18,Công ty TNHH Thương mại Minh Anh,2025-09-14,Còn hàng
ĐỒU-2510-0040,Coca-Cola Cà phê hòa tan 20 gói Plus,Đồ uống,"Coca-Cola Cà phê hòa tan 20 gói Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Thùng 24 lon/chai, NSX gần, HSD còn dài, Bảo quản nơi khô ráo, thoáng mát. Bảo hành 3 tháng, Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #chinhhang #coca-cola",Thùng,500000,733000,134,14,K03-H16-B17,CTCP Thiết bị Gia dụng H.T,2025-10-29,Còn hàng
THỜ-2511-0041,Coolmate Áo khoác gió Plus,Thời trang nam,"Sản phẩm Coolmate Áo khoác gió Plus của Coolmate: Màu sắc: xám, Chất liệu thun lạnh, Form regular. Giá tham khảo 763,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày.",Cái,496677,763000,71,20,K09-H02-B15,CTCP Thiết bị Gia dụng H.T,2025-09-07,Còn hàng
MỸP-2509-0042,L'Oreal Kem dưỡng ẩm Plus,Mỹ phẩm,"L'Oreal Kem dưỡng ẩm Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Thành phần nổi bật: Niacinamide, Phù hợp loại da hỗn hợp, Không paraben, không cồn khô. Bảo hành 3 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Tuýp,728469,1153000,67,11,K08-H29-B16,CTCP Bán lẻ Công nghệ A-Z,2025-10-26,Còn hàng
PHỤ-2509-0043,Hyper Sạc dự phòng 10.000mAh Plus,Phụ kiện,"Hyper Sạc dự phòng 10.000mAh Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Cáp USB-A to Lightning dài 2m, Công suất 45W, hỗ trợ PD/QC. Bảo hành 12 tháng, Giao 24-48H toàn quốc. Đổi trả trong 7 ngày.",Cái,536962,861000,113,20,K08-H16-B08,Công ty Cổ phần Phân phối Sao Việt,2025-11-02,Còn hàng
ĐỒU-2509-0044,Highlands Lon 330ml thùng 24 Mini,Đồ uống,"Highlands Lon 330ml thùng 24 Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: NSX gần, HSD còn dài, Thùng 24 lon/chai, Bảo quản nơi khô ráo, thoáng mát. Bảo hành 3 tháng, Giao 24-48H toàn quốc. Đổi trả trong 7 ngày.",Thùng,266842,472000,132,28,K09-H25-B18,CTCP Thiết bị Gia dụng H.T,2025-11-03,Còn hàng
THỜ-2501-0045,Zara Áo kiểu lụa Mini,Thời trang nữ,"Zara Áo kiểu lụa Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Chất liệu voan, Phom bodycon. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Cái,697694,1082000,78,13,K10-H11-B04,Mai Mai Doanh nghiệp tư nhân,2025-10-26,Còn hàng
ĐỒC-2502-0046,Mattel Xếp hình 500 mảnh,Đồ chơi,"Sản phẩm Mattel Xếp hình 500 mảnh của Mattel: Độ tuổi khuyến nghị 8+, Phát triển tư duy & sáng tạo. Giá tham khảo 2,271,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #chinhhang #giao_nhanh",Hộp,1693276,2271000,33,13,K09-H13-B11,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-03,Còn hàng
LAP-2505-0047,Apple Pavilion 14,Laptop,"Apple Pavilion 14 chính hãng từ Apple. Giá tốt chỉ 24,531,000đ. Pin dùng 12 giờ, Màn hình 14"" 2.8K 90Hz. Bảo hành 12 tháng. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #giao_nhanh #gia_tot",Chiếc,14827675,24531000,10,5,K01-H10-B12,Công ty Cổ phần Phân phối Sao Việt,2025-10-19,Còn hàng
ĐỒC-2511-0048,Lego Xếp hình 500 mảnh Plus,Đồ chơi,"Lego Xếp hình 500 mảnh Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Chất liệu an toàn, đạt chuẩn ASTM, Phát triển tư duy & sáng tạo. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #giao_nhanh #lego",Hộp,460226,596000,27,8,K06-H19-B10,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-05,Còn hàng
ĐỒC-2501-0049,Lego Xếp hình 500 mảnh Plus,Đồ chơi,"Sản phẩm Lego Xếp hình 500 mảnh Plus của Lego: Phát triển tư duy & sáng tạo, Chất liệu an toàn, đạt chuẩn EN-71, Độ tuổi khuyến nghị 8+. Giá tham khảo 2,049,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #gia_tot #giao_nhanh",Hộp,1766942,2049000,29,5,K12-H16-B10,Mai Dương Công ty TNHH,2025-11-05,Còn hàng
LAP-2508-0050,Acer Inspiron 15 Plus,Laptop,"Sản phẩm Acer Inspiron 15 Plus của Acer: Pin dùng 10 giờ, Màn hình 15.6"" FHD, CPU Ryzen 7, RAM 16GB, SSD 256GB. Giá tham khảo 52,192,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày.",Chiếc,35429391,52192000,9,5,K12-H05-B03,Lê Công ty Trách nhiệm hữu hạn,2025-10-30,Còn hàng
LAP-2504-0051,Apple XPS 13 Max,Laptop,,Chiếc,40542925,54032000,11,13,K09-H12-B03,Hoàng và đối tác Công ty TNHH,2025-10-20,Còn hàng
THỰ-2511-0052,Orion Gạo ST25 5kg Plus,Thực phẩm,,Gói,225041,344000,155,23,K11-H12-B04,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-31,Còn hàng
THỰ-2502-0053,Acecook Mì Hảo Hảo thùng,Thực phẩm,"Acecook Mì Hảo Hảo thùng – lựa chọn đáng giá trong phân khúc. Nổi bật: HSD 7 tháng, Nguồn gốc rõ ràng, an toàn vệ sinh. Bảo hành 3 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #acecook #giao_nhanh",Gói,282402,404000,161,29,K05-H21-B14,Công ty TNHH Thương mại Minh Anh,2025-11-06,Còn hàng
PHỤ-2508-0054,Hyper Sạc dự phòng 10.000mAh Pro,Phụ kiện,"Hyper Sạc dự phòng 10.000mAh Pro chính hãng từ Hyper. Giá tốt chỉ 1,324,000đ. Chứng nhận an toàn CE/FCC, Công suất 45W, hỗ trợ PD/QC, Cáp USB-C to Lightning dài 2m. Bảo hành 3 tháng. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày.",Cái,950383,1324000,126,25,K05-H02-B12,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-29,Còn hàng
MỸP-2511-0055,L'Oreal Kem dưỡng ẩm,Mỹ phẩm,"L'Oreal Kem dưỡng ẩm chính hãng từ L'Oreal. Giá tốt chỉ 270,000đ. Thành phần nổi bật: Vitamin C, Phù hợp loại da dầu, Không paraben, không cồn khô. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #gia_tot #chinhhang",Tuýp,167183,270000,71,7,K06-H08-B05,Trần Công ty Trách nhiệm hữu hạn,2025-10-24,Còn hàng
THỰ-2511-0056,Acecook Mì Hảo Hảo thùng Pro,Thực phẩm,"Acecook Mì Hảo Hảo thùng Pro chính hãng từ Acecook. Giá tốt chỉ 166,000đ. Bao bì nguyên vẹn, tem nhãn đầy đủ, Nguồn gốc rõ ràng, an toàn vệ sinh, HSD 12 tháng. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #giao_nhanh #acecook",Gói,93290,166000,159,15,K06-H26-B08,Công ty TNHH Thương mại Minh Anh,2025-11-03,Còn hàng
ĐỒU-2504-0057,Coca-Cola Chai 1.5L lốc 6 SE,Đồ uống,,Thùng,360743,573000,125,14,K11-H17-B10,Công ty TNHH Thương mại Minh Anh,2025-10-31,Còn hàng
MỸP-2502-0058,The Ordinary Kem chống nắng SPF50,Mỹ phẩm,,Tuýp,481934,690000,57,22,K08-H03-B03,Công ty Cổ phần Phân phối Sao Việt,2025-10-24,Còn hàng
ĐỒC-2509-0059,Mattel Xếp hình 500 mảnh SE,Đồ chơi,"Mattel Xếp hình 500 mảnh SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Độ tuổi khuyến nghị 6+, Chất liệu an toàn, đạt chuẩn EN-71, Phát triển tư duy & sáng tạo. Bảo hành 6 tháng, Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #chinhhang #gia_tot",Hộp,930963,1372000,28,12,K10-H14-B04,Bùi và Lê Công ty TNHH MTV,2025-10-21,Còn hàng
THỜ-2503-0060,H&M Chân váy chữ A Plus,Thời trang nữ,"H&M Chân váy chữ A Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Phom oversize, Chất liệu cotton, Dễ phối đồ, phù hợp đi làm/đi chơi. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,337776,545000,93,24,K02-H03-B14,CTCP Thiết bị Gia dụng H.T,2025-11-04,Còn hàng
THỜ-2505-0061,IVY Moda Chân váy chữ A SE,Thời trang nữ,"Sản phẩm IVY Moda Chân váy chữ A SE của IVY Moda: Chất liệu cotton, Dễ phối đồ, phù hợp đi làm/đi chơi. Giá tham khảo 510,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,369654,510000,72,20,K09-H07-B05,Công ty Cổ phần Phân phối Sao Việt,2025-10-09,Còn hàng
